Ticker,EnglishName,KoreanName,Sector
WINA,Winmark Corp,윈마크,Consumer Cyclical
GENB,Generate Biomedicines Inc,제너레이트 바이오메디신스,Healthcare
AMSC,American Superconductor Corp,아메리칸 슈퍼컨덕터,Industrials
GCT,GigaCloud Technology Inc,기가클라우드 테크놀로지,Technology
ALGT,Allegiant Travel Co,얼리전트 트래블,Industrials
NSSC,NAPCO Security Technologies Inc,냅코 시큐리티 테크놀로지스,Industrials
LFAC,Leapfrog Acquisition Corp,리프로그 애퀴지션,Financial Services
QCRH,QCR Holdings Inc,QCR 홀딩스,Financial Services
DMRA,Damora Therapeutics Inc,다모라 테라퓨틱스,Healthcare
VIR,Vir Biotechnology Inc,비어 바이오테크놀로지,Healthcare
RCAT,Red Cat Holdings Inc,레드 캣 홀딩스,Industrials
ATRC,AtriCure Inc,에이트리큐어,Healthcare
ARDX,Ardelyx Inc,아델릭스,Healthcare
FSUN,Firstsun Capital Bancorp,퍼스트선 캐피털 뱅코프,Financial Services
NBTX,Nanobiotix SA ADR,나노바이오틱스,Healthcare
PGEN,Precigen Inc,프리시젠,Healthcare
UFPT,UFP Technologies Inc,UFP 테크놀로지스,Healthcare
TILE,Interface Inc,인터페이스,Consumer Cyclical
FBYD,Falcon's Beyond Global Inc,팰컨스 비욘드 글로벌,Industrials
PSIX,Power Solutions International Inc,파워 솔루션즈 인터내셔널,Industrials
MBX,MBX Biosciences Inc,MBX 바이오사이언시스,Healthcare
WLTH,Wealthfront Corp,웰스프런트,Technology
UPWK,Upwork Inc,업워크,Communication Services
VRDN,Viridian Therapeutics Inc,비리디안 테라퓨틱스,Healthcare
FLYW,Flywire Corp,플라이와이어,Technology
KDK,Kodiak AI Inc,코디악 AI,Technology
RBCAA,Republic Bancorp Inc,리퍼블릭 뱅코프,Financial Services
MAZE,Maze Therapeutics Inc,메이즈 테라퓨틱스,Healthcare
PGNY,Progyny Inc,프로지니,Healthcare
PICS,Pics NV,픽스,Technology
AVAH,Aveanna Healthcare Holdings Inc,애비아나 헬스케어 홀딩스,Healthcare
BCAX,Bicara Therapeutics Inc,비카라 테라퓨틱스,Healthcare
GILT,Gilat Satellite Networks Ltd,질랫 새틀라이트 네트웍스,Technology
PLPC,Preformed Line Products Co,프리폼드 라인 프로덕츠,Industrials
ATAI,AtaiBeckley Inc,아타이벡리,Healthcare
CNOB,ConnectOne Bancorp Inc,커넥트원 뱅코프,Financial Services
SKYT,Skywater Technology Inc,스카이워터 테크놀로지,Technology
WBTN,Webtoon Entertainment Inc,웹툰 엔터테인먼트,Communication Services
TH,Target Hospitality Corp,타깃 호스피탤리티,Industrials
IMTX,Immatics NV,이매틱스,Healthcare
ASTH,Astrana Health Inc,아스트라나 헬스,Healthcare
PDFS,PDF Solutions Inc,PDF 솔루션즈,Technology
GLUE,Monte Rosa Therapeutics Inc,몬테로사 테라퓨틱스,Healthcare
IOVA,Iovance Biotherapeutics Inc,아이오밴스 바이오테라퓨틱스,Healthcare
OPRA,Opera Ltd ADR,오페라,Communication Services
CSWC,Capital Southwest Corp,캐피털 사우스웨스트,Financial Services
PLSE,Pulse Biosciences Inc,펄스 바이오사이언시스,Healthcare
OLPX,Olaplex Holdings Inc,올라플렉스 홀딩스,Consumer Cyclical
LILAK,Liberty Latin America Ltd Class C,리버티 라틴 아메리카,Communication Services
AFYA,Afya Ltd,아프야,Consumer Defensive
OCS,Oculis Holding AG,오큘리스 홀딩,Healthcare
SMPL,Simply Good Foods Co,심플리 굿 푸즈,Consumer Defensive
ZBIO,Zenas Biopharma Inc,제나스 바이오파마,Healthcare
WVE,WAVE Life Sciences Ltd,웨이브 라이프사이언시스,Healthcare
OLMA,Olema Pharmaceuticals Inc,올레마 파마슈티컬스,Healthcare
TRS,TriMas Corp,트라이마스,Consumer Cyclical
HCSG,Healthcare Services Group Inc,헬스케어 서비스 그룹,Healthcare
HROW,Harrow Inc,해로우,Healthcare
TSHA,Taysha Gene Therapies Inc,테이샤 진 테라피스,Healthcare
LINC,Lincoln Educational Services Corp,링컨 에듀케이셔널 서비스,Consumer Defensive
WEN,Wendy's Co,웬디스,Consumer Cyclical
PRCT,Procept Biorobotics Corp,프로셉트 바이오로보틱스,Healthcare
NVAX,Novavax Inc,노바백스,Healthcare
IQ,iQIYI Inc ADR,아이치이,Communication Services
WABC,Westamerica Bancorp,웨스트아메리카 뱅코프,Financial Services
ASTE,Astec Industries Inc,아스텍 인더스트리스,Industrials
INOD,Innodata Inc,이노데이터,Technology
IMOS,ChipMOS Technologies Inc ADR,칩모스 테크놀로지스,Technology
PSEC,Prospect Capital Corp,프로스펙트 캐피털,Financial Services
TNDM,Tandem Diabetes Care Inc,탠덤 다이아비티스 케어,Healthcare
TRIN,Trinity Capital Inc,트리니티 캐피털,Financial Services
ICFI,ICF International Inc,ICF 인터내셔널,Industrials
TRIP,Tripadvisor Inc,트립어드바이저,Consumer Cyclical
SBET,Sharplink Inc,샤프링크,Financial Services
KEEL,Keel Infrastructure Corp,킬 인프라스트럭처,Technology
DSGR,Distribution Solutions Group Inc,디스트리뷰션 솔루션즈 그룹,Industrials
WLFC,Willis Lease Finance Corp,윌리스 리스 파이낸스,Industrials
MLTX,MoonLake Immunotherapeutics,문레이크 이뮤노테라퓨틱스,Healthcare
LWLG,Lightwave Logic Inc,라이트웨이브 로직,Basic Materials
PRGS,Progress Software Corp,프로그레스 소프트웨어,Technology
XPEL,Xpel Inc,엑스펠,Consumer Cyclical
OUST,Ouster Inc,아우스터,Technology
PEBO,Peoples Bancorp Inc,피플스 뱅코프,Financial Services
ELE,Elemental Royalty Corp,엘리멘털 로열티,Basic Materials
ENVX,Enovix Corp,이노빅스,Industrials
CCB,Coastal Financial Corp (EVERETT),코스털 파이낸셜,Financial Services
AMAL,Amalgamated Financial Corp,아말가메이티드 파이낸셜,Financial Services
CRVS,Corvus Pharmaceuticals Inc,코버스 파마슈티컬스,Healthcare
NNNN,Anbio Biotechnology,안바이오 바이오테크놀로지,Healthcare
VMET,Versamet Royalties Corp,버사메트 로열티스,Basic Materials
IRMD,IRadimed Corp,아이라디메드,Healthcare
BITF,Bitfarms Ltd,비트팜스,Financial Services
PLTK,Playtika Holding Corp,플레이티카 홀딩,Communication Services
GIII,G-III Apparel Group Ltd,G-III 어패럴 그룹,Consumer Cyclical
SVRA,Savara Inc,사바라,Healthcare
RDWR,Radware Ltd,래드웨어,Technology
NVCR,Novocure Ltd,노보큐어,Healthcare
WLDN,Willdan Group  Inc,윌단 그룹,Industrials
PHAR,Pharming Group NV ADR,파밍 그룹,Healthcare
PZZA,Papa John's International Inc,파파 존스 인터내셔널,Consumer Cyclical
FIVN,Five9 Inc,파이브9,Technology
ROCK,Gibraltar Industries Inc,지브롤터 인더스트리스,Industrials
CTBI,Community Trust Bancorp Inc,커뮤니티 트러스트 뱅코프,Financial Services
KMTS,Kestra Medical Technologies Ltd,케스트라 메디컬 테크놀로지스,Healthcare
EYPT,EyePoint Inc,아이포인트,Healthcare
FMBH,First Mid Bancshares Inc,퍼스트 미드 뱅크셰어스,Financial Services
ACDC,ProFrac Holding Corp,프로프랙 홀딩,Energy
TIGR,UP Fintech Holding Ltd ADR,UP 핀테크 홀딩,Financial Services
LIND,Lindblad Expeditions Holdings Inc,린드블라드 익스페디션스 홀딩스,Consumer Cyclical
SEPN,Septerna Inc,셉터나,Healthcare
GERN,Geron Corp,제론,Healthcare
AVBP,ArriVent BioPharma Inc,아리벤트 바이오파마,Healthcare
MRTN,Marten Transport Ltd,마튼 트랜스포트,Industrials
TRUP,Trupanion Inc,트루패니언,Financial Services
RUSHB,Rush Enterprises Inc Class B,러시 엔터프라이즈,Consumer Cyclical
HFWA,Heritage Financial Corp,헤리티지 파이낸셜,Financial Services
REAL,RealReal Inc,리얼리얼,Consumer Cyclical
GPRE,Green Plains Inc,그린 플레인스,Basic Materials
EVLV,Evolv Technologies Holdings Inc,이볼브 테크놀로지스 홀딩스,Industrials
SAFT,Safety Insurance Group Inc,세이프티 인슈어런스 그룹,Financial Services
JCAP,Jefferson Capital Inc,제퍼슨 캐피털,Financial Services
OSBC,Old Second Bancorp Inc,올드 세컨드 뱅코프,Financial Services
CRAI,CRA International Inc,CRA 인터내셔널,Industrials
SHLS,Shoals Technologies Group Inc,쇼얼스 테크놀로지스 그룹,Technology
CCEC,Capital Clean Energy Carriers Corp,캐피털 클린 에너지 캐리어스,Industrials
QURE,Uniqure NV,유니큐어,Healthcare
OCFC,OceanFirst Financial Corp,오션퍼스트 파이낸셜,Financial Services
INNV,InnovAge Holding Corp,이노베이지 홀딩,Healthcare
PNTG,Pennant Group Inc,페넌트 그룹,Healthcare
ADTN,ADTRAN Holdings Inc,애드트란 홀딩스,Technology
AVO,Mission Produce Inc,미션 프로듀스,Consumer Defensive
MFIC,MidCap Financial Investment Corp,미드캡 파이낸셜 인베스트먼트,Financial Services
IGIC,International General Insurance Holdings Ltd,인터내셔널 제너럴 인슈어런스 홀딩스,Financial Services
ALVO,Alvotech SA,알보텍,Healthcare
APEI,American Public Education Inc,아메리칸 퍼블릭 에듀케이션,Consumer Defensive
NEO,Neogenomics Inc,네오지노믹스,Healthcare
NNE,Nano Nuclear Energy Inc,나노 뉴클리어 에너지,Industrials
PENG,Penguin Solutions Inc,펭귄 솔루션즈,Technology
ELVR,Elevra Lithium Ltd ADR,엘레브라 리튬,Basic Materials
STAA,STAAR Surgical Co,스타 서지컬,Healthcare
ARRY,Array Technologies Inc,어레이 테크놀로지스,Technology
COLL,Collegium Pharmaceutical Inc,콜레기움 파마슈티컬,Healthcare
OCSL,Oaktree Specialty Lending Corp,오크트리 스페셜티 렌딩,Financial Services
LZ,LegalZoom.com Inc,리걸줌닷컴,Industrials
HLIT,Harmonic Inc,하모닉,Technology
KALV,Kalvista Pharmaceuticals Inc,칼비스타 파마슈티컬스,Healthcare
MPLT,MapLight Therapeutics Inc,맵라이트 테라퓨틱스,Healthcare
ITRN,Ituran Location and Control Ltd,이투란 로케이션 앤 컨트롤,Technology
QDEL,QuidelOrtho Corp,퀴델오쏘,Healthcare
UPBD,Upbound Group Inc,업바운드 그룹,Technology
XERS,Xeris Biopharma Holdings Inc,제리스 바이오파마 홀딩스,Healthcare
CCOI,Cogent Communications Holdings Inc,코전트 커뮤니케이션즈 홀딩스,Communication Services
NBN,Northeast Bank,노스이스트 뱅크,Financial Services
ALNT,Allient Inc,얼라이언트,Technology
UVSP,Univest Financial Corp,유니베스트 파이낸셜,Financial Services
HBT,HBT Financial  Inc,HBT 파이낸셜,Financial Services
PGY,Pagaya Technologies Ltd,파가야 테크놀로지스,Technology
ABCL,Abcellera Biologics Inc,앱셀레라 바이올로직스,Healthcare
AZTA,Azenta Inc,아젠타,Healthcare
CLOV,Clover Health Investments Corp,클로버 헬스 인베스트먼츠,Healthcare
SATL,Satellogic Inc,새텔로직,Industrials
MSEX,Middlesex Water Co,미들섹스 워터,Utilities
NBBK,NB Bancorp Inc,NB 뱅코프,Financial Services
PCT,Purecycle Technologies Inc,퓨어사이클 테크놀로지스,Industrials
LQDT,Liquidity Services Inc,리퀴디티 서비스,Consumer Cyclical
BMBL,Bumble Inc,범블,Communication Services
UFCS,United Fire Group Inc,유나이티드 파이어 그룹,Financial Services
MLKN,MillerKnoll Inc,밀러놀,Consumer Cyclical
RZLV,Rezolve AI PLC,리졸브 AI,Technology
SBGI,Sinclair Inc,싱클레어,Communication Services
CFFN,Capitol Federal Financial Inc,캐피톨 페더럴 파이낸셜,Financial Services
ANNX,Annexon Inc,애넥슨,Healthcare
JBSS,John B Sanfilippo & Son Inc,존 B. 샌필리포 앤 선,Consumer Defensive
SSII,SS Innovations International Inc,에스에스 이노베이션스 인터내셔널,Healthcare
CMPX,Compass Therapeutics Inc.,컴퍼스 테라퓨틱스,Healthcare
SIFY,Sify Technologies Ltd ADR,사이파이 테크놀로지스,Communication Services
CRML,Critical Metals Corp,크리티컬 메탈스,Basic Materials
CRON,Cronos Group Inc,크로노스 그룹,Healthcare
BHRB,Burke & Herbert Financial Services Corp,버크 앤 허버트 파이낸셜 서비스,Financial Services
OXLC,Oxford Lane Capital Corp,옥스퍼드 레인 캐피털,Financial Services
DAKT,Daktronics Inc,닥트로닉스,Technology
AMPH,Amphastar Pharmaceuticals  Inc,암파스타 파마슈티컬스,Healthcare
LMB,Limbach Holdings Inc,림바흐 홀딩스,Industrials
CTMX,CytomX Therapeutics Inc,사이톰엑스 테라퓨틱스,Healthcare
HDL,Super Hi International Holding Ltd ADR,슈퍼하이 인터내셔널 홀딩,Consumer Cyclical
BLFS,BioLife Solutions Inc,바이오라이프 솔루션즈,Healthcare
IPX,Iperionx Ltd ADR,아이페리온엑스,Basic Materials
ABTC,American Bitcoin Corp,아메리칸 비트코인,Financial Services
CRTO,Criteo SA ADR,크리테오,Communication Services
PRCH,Porch Group Inc,포치 그룹,Financial Services
ESQ,Esquire Financial Holdings Inc,에스콰이어 파이낸셜 홀딩스,Financial Services
EVO,Evotec SE ADR,에보텍,Healthcare
PCRX,Pacira Biosciences Inc,파시라 바이오사이언시스,Healthcare
INBX,Inhibrx Biosciences Inc,인하이브렉스 바이오사이언시스,Healthcare
MOMO,Hello Group Inc ADR,헬로 그룹,Communication Services
GHRS,GH Research PLC,GH 리서치,Healthcare
TBLA,Taboola.com Ltd,타불라닷컴,Communication Services
POET,POET Technologies Inc,포엣 테크놀로지스,Technology
PHAT,Phathom Pharmaceuticals Inc,패텀 파마슈티컬스,Healthcare
EXPI,eXp World Holdings Inc,익스피 월드 홀딩스,Real Estate
JANX,Janux Therapeutics Inc,제이넉스 테라퓨틱스,Healthcare
BFST,Business First Bancshares Inc,비즈니스 퍼스트 뱅크셰어스,Financial Services
CDNA,CareDx Inc,케어디엑스,Healthcare
CCNE,CNB Financial Corp,씨엔비 파이낸셜,Financial Services
XNCR,Xencor Inc,젠코어,Healthcare
CGEM,Cullinan Therapeutics Inc,컬리넌 테라퓨틱스,Healthcare
MBWM,Mercantile Bank Corp,머캔타일 뱅크,Financial Services
SNCY,Sun Country Airlines Holdings Inc,선 컨트리 에어라인즈 홀딩스,Industrials
AMPL,Amplitude Inc,앰플리튜드,Technology
HPK,Highpeak Energy Inc,하이피크 에너지,Energy
AKTS,Aktis Oncology Inc,액티스 온콜로지,Healthcare
ORIC,Oric Pharmaceuticals Inc,오릭 파마슈티컬스,Healthcare
FTRE,Fortrea Holdings Inc,포트레아 홀딩스,Healthcare
OPK,OPKO Health Inc,옵코 헬스,Healthcare
KRUS,Kura Sushi USA Inc,쿠라 스시 USA,Consumer Cyclical
ARHS,Arhaus Inc,아르하우스,Consumer Cyclical
URGN,Urogen Pharma Ltd,유로젠 파마,Healthcare
CRCT,Cricut Inc,크리컷,Technology
ABUS,Arbutus Biopharma Corp,아르부투스 바이오파마,Healthcare
APC,Arko Petroleum Corp,아르코 페트롤리엄,Energy
VERB,Verb Technology Company Inc,버브 테크놀로지,Unknown
HBNC,Horizon Bancorp Inc,호라이즌 뱅코프,Financial Services
LMRI,Lumexa Imaging Holdings Inc,루멕사 이미징 홀딩스,Healthcare
MCBS,Metrocity Bankshares Inc,메트로시티 뱅크셰어스,Financial Services
CSHR,Coinshares PLC,코인셰어즈,Financial Services
INMD,Inmode Ltd,인모드,Healthcare
HEPS,D Market Elektronik Hizmetler ve Ticaret AS ADR,D마켓 일렉트로닉 히즈메틀레르 베 티자렛,Consumer Cyclical
WOOF,Petco Health and Wellness Company Inc,펫코 헬스 앤 웰니스 컴퍼니,Consumer Cyclical
ODD,Oddity Tech Ltd,오디티 테크,Consumer Defensive
TALK,Talkspace Inc,토크스페이스,Healthcare
CERT,Certara Inc,서타라,Healthcare
RJET,Republic Airways Holdings Inc,리퍼블릭 에어웨이스 홀딩스,Industrials
TBPH,Theravance Biopharma Inc,테라밴스 바이오파마,Healthcare
YB,Yuanbao Inc ADR,위안바오,Technology
SCHL,Scholastic Corp,스콜라스틱,Communication Services
THRM,Gentherm Inc,젠썸,Consumer Cyclical
LGIH,LGI Homes Inc,LGI 홈스,Consumer Cyclical
METC,Ramaco Resources Inc Class A,라마코 리소시스 클래스 A,Basic Materials
SDGR,Schrodinger Inc,슈뢰딩거,Healthcare
SANA,Sana Biotechnology Inc,사나 바이오테크놀로지,Healthcare
VINP,Vinci Compass Investments Ltd,빈치 컴퍼스 인베스트먼츠,Financial Services
MPB,Mid Penn Bancorp Inc,미드 펜 뱅코프,Financial Services
ATLC,Atlanticus Holdings Corp,애틀랜티쿠스 홀딩스,Financial Services
CAC,Camden National Corp,캠든 내셔널,Financial Services
HTLD,Heartland Express Inc,하트랜드 익스프레스,Industrials
ULCC,Frontier Group Holdings Inc,프런티어 그룹 홀딩스,Industrials
FSBC,Five Star Bancorp,파이브 스타 뱅코프,Financial Services
AIP,Arteris Inc,아르테리스,Technology
VOR,Vor Biopharma Inc,보어 바이오파마,Healthcare
SPFI,South Plains Financial Inc,사우스 플레인스 파이낸셜,Financial Services
SENEA,Seneca Foods Corp Class A,세네카 푸즈,Consumer Defensive
LOT,Lotus Technology Inc ADR,로터스 테크놀로지,Consumer Cyclical
CSIQ,Canadian Solar Inc,캐나디안 솔라,Technology
SLS,Sellas Life Sciences Group Inc,셀라스 라이프 사이언시스 그룹,Healthcare
SPRY,ARS Pharmaceuticals Inc,ARS 파마슈티컬스,Healthcare
NAVI,Navient Corp,내비언트,Financial Services
JBIO,Jade Biosciences Inc,제이드 바이오사이언시스,Healthcare
MATW,Matthews International Corp,매튜스 인터내셔널,Industrials
FCBC,First Community Bankshares Inc,퍼스트 커뮤니티 뱅크셰어스,Financial Services
SHEN,Shenandoah Telecommunications Co,셰넌도어 텔레커뮤니케이션스,Communication Services
HAFC,Hanmi Financial Corp,한미 파이낸셜,Financial Services
SLRC,SLR Investment Corp,SLR 인베스트먼트,Financial Services
SCSC,Scansource Inc,스캔소스,Technology
FMNB,Farmers National Banc Corp,파머스 내셔널 뱅코프,Financial Services
HTBK,Heritage Commerce Corp,헤리티지 커머스,Financial Services
NMFC,New Mountain Finance Corp,뉴 마운틴 파이낸스,Financial Services
TRST,TrustCo Bank Corp NY,트러스트코 뱅크,Financial Services
MNKD,MannKind Corp,맨카인드,Healthcare
OMER,Omeros Corp,오메로스,Healthcare
LIFE,Ethos Technologies Inc,에토스 테크놀로지스,Financial Services
AEVA,Aeva Technologies Inc,에이바 테크놀로지스,Technology
EGBN,Eagle Bancorp Inc,이글 뱅코프,Financial Services
CTLP,Cantaloupe Inc,캔털루프,Technology
BJRI,BJ's Restaurants Inc,BJ스 레스토랑스,Consumer Cyclical
BIOA,BIOAGE Labs Inc,바이오에이지 랩스,Healthcare
KURA,Kura Oncology Inc,쿠라 온콜로지,Healthcare
CCBG,Capital City Bank Group Inc,캐피털 시티 뱅크 그룹,Financial Services
CGBD,Carlyle Secured Lending Inc,칼라일 시큐어드 렌딩,Financial Services
MGTX,MeiraGTx Holdings PLC,메이라GTX 홀딩스,Healthcare
EH,EHang Holdings Ltd ADR,이항 홀딩스,Industrials
CRESY,Cresud SACIF y A ADR,크레수드,Industrials
ATEX,Anterix Inc,앤터릭스,Communication Services
STKL,Sunopta Inc,선옵타,Consumer Defensive
THFF,First Financial Corp,퍼스트 파이낸셜,Financial Services
SLDB,Solid Biosciences Inc,솔리드 바이오사이언시스,Healthcare
AEBI,Aebi Schmidt Holding AG,에비 슈미트 홀딩스,Industrials
GSM,Ferroglobe PLC,페로글로브,Basic Materials
NWPX,NWPX Infrastructure Inc,NWPX 인프라스트럭처,Basic Materials
DSGN,Design Therapeutics Inc,디자인 테라퓨틱스,Healthcare
TLRY,Tilray Brands Inc,틸레이 브랜즈,Healthcare
DRUG,Bright Minds Biosciences Inc,브라이트 마인즈 바이오사이언시스,Healthcare
IVA,Inventiva SA ADR,인벤티바,Healthcare
MRVI,Maravai LifeSciences Holdings Inc,마라바이 라이프사이언시스 홀딩스,Healthcare
SVC,Service Properties Trust,서비스 프로퍼티즈 트러스트,Real Estate
NEGG,Newegg Commerce Inc,뉴에그 커머스,Consumer Cyclical
CSTL,Castle Biosciences Inc,캐슬 바이오사이언시스,Healthcare
BBSI,Barrett Business Services Inc,배럿 비즈니스 서비스,Industrials
BETR,Better Home & Finance Holding Co,베터 홈 앤 파이낸스 홀딩,Financial Services
BRBI,BRBI BR Partners SA ADR,BR 파트너스,Financial Services
HNRG,Hallador Energy Co,할라도르 에너지,Energy
BVS,Bioventus Inc,바이오벤투스,Healthcare
YDDL,One and one Green Technologies.INC,원앤원 그린 테크놀로지스,Industrials
SMBC,Southern Missouri Bancorp Inc,서던 미주리 뱅코프,Financial Services
OMDA,Omada Health Inc,오마다 헬스,Healthcare
ORRF,Orrstown Financial Services Inc,오어스타운 파이낸셜 서비스,Financial Services
ARVN,Arvinas Inc,아비나스,Healthcare
SCZM,Santacruz Silver Mining Ltd,산타크루즈 실버 마이닝,Basic Materials
IART,Integra Lifesciences Holdings Corp,인테그라 라이프사이언시스 홀딩스,Healthcare
LBRX,LB Pharmaceuticals Inc,LB 파마슈티컬스,Healthcare
BLDP,Ballard Power Systems Inc,발라드 파워 시스템즈,Industrials
APOG,Apogee Enterprises Inc,아포지 엔터프라이즈,Industrials
GDEN,Golden Entertainment Inc,골든 엔터테인먼트,Consumer Cyclical
WRLD,World Acceptance Corp,월드 액셉턴스,Financial Services
NUTX,Nutex Health Inc,뉴텍스 헬스,Healthcare
DJCO,Daily Journal Corp,데일리 저널,Technology
GSBC,Great Southern Bancorp Inc,그레이트 서던 뱅코프,Financial Services
CMPS,Compass Pathways PLC ADR,컴퍼스 패스웨이스,Healthcare
RLMD,Relmada Therapeutics Inc,렐마다 테라퓨틱스,Healthcare
PRAA,PRA Group Inc,PRA 그룹,Financial Services
AXG,Solowin Holdings Ltd,솔로윈 홀딩스,Financial Services
TRNS,Transcat Inc,트랜스캣,Industrials
SGP,SpyGlass Pharma Inc,스파이글래스 파마,Healthcare
UDMY,Udemy Inc,유데미,Consumer Defensive
GDRX,GoodRx Holdings Inc,굿알엑스 홀딩스,Healthcare
NRDS,NerdWallet Inc,너드월렛,Communication Services
KRNT,Kornit Digital Ltd,코닛 디지털,Industrials
ADSE,Ads-Tec Energy PLC,애즈텍 에너지,Industrials
IBCP,Independent Bank Corp (Michigan),인디펜던트 뱅크,Financial Services
QNST,QuinStreet Inc,퀸스트리트,Communication Services
ROOT,Root Inc,루트,Financial Services
DSP,Viant Technology Inc,비안트 테크놀로지,Technology
SSYS,Stratasys Ltd,스트라타시스,Technology
AOSL,Alpha and Omega Semiconductor Ltd,알파 앤 오메가 세미컨덕터,Technology
GO,Grocery Outlet Holding Corp,그로서리 아웃렛 홀딩,Consumer Defensive
IIIV,I3 Verticals Inc,아이3 버티컬스,Technology
LYTS,LSI Industries Inc,LSI 인더스트리스,Technology
ETON,Eton Pharmaceuticals Inc,이튼 파마슈티컬스,Healthcare
NTGR,NETGEAR Inc,넷기어,Technology
LXRX,Lexicon Pharmaceuticals Inc,렉시콘 파마슈티컬스,Healthcare
FDUS,Fidus Investment Corp,피더스 인베스트먼트,Financial Services
UXIN,Uxin Ltd ADR,유신,Consumer Cyclical
CBLL,Ceribell Inc,세리벨,Healthcare
BBOT,BridgeBio Oncology Therapeutics Inc,브리지바이오 온콜로지 테라퓨틱스,Healthcare
ADAM,Adamas Trust Inc,아다마스 트러스트,Real Estate
FWRG,First Watch Restaurant Group Inc,퍼스트 워치 레스토랑 그룹,Consumer Cyclical
TBLD,Thornburg Income Builder Opportunities Trust,쏜버그 인컴 빌더 오퍼튜니티스 트러스트,Financial Services
SWBI,Smith & Wesson Brands Inc,스미스 앤 웨슨 브랜즈,Industrials
WASH,Washington Trust Bancorp Inc,워싱턴 트러스트 뱅코프,Financial Services
PGC,Peapack-Gladstone Financial Corp,피팩-글래드스톤 파이낸셜,Financial Services
DMII,Drugs Made In America Acquisition II Corp,드럭스 메이드 인 아메리카 애퀴지션 II,Financial Services
NB,NioCorp Developments Ltd,니오코프 디벨롭먼츠,Basic Materials
FISI,Financial Institutions Inc,파이낸셜 인스티튜션스,Financial Services
FOXF,Fox Factory Holding Corp,폭스 팩토리 홀딩,Consumer Cyclical
GYRE,Gyre Therapeutics Inc,자이어 테라퓨틱스,Healthcare
INDI,indie Semiconductor Inc,인디 세미컨덕터,Technology
PSNL,Personalis Inc,퍼스널리스,Healthcare
REPL,Replimune Group Inc,리플리뮨 그룹,Healthcare
SHBI,Shore Bancshares Inc,쇼어 뱅크셰어스,Financial Services
ASST,Strive Inc,스트라이브,Financial Services
CGNT,Cognyte Software Ltd,코그나이트 소프트웨어,Technology
ALLO,Allogene Therapeutics Inc,알로진 테라퓨틱스,Healthcare
CDNL,Cardinal Infrastructure Group Inc,카디널 인프라스트럭처 그룹,Industrials
AMSF,Amerisafe Inc,아메리세이프,Financial Services
CBRL,Cracker Barrel Old Country Store Inc,크래커 배럴 올드 컨트리 스토어,Consumer Cyclical
VLGEA,Village Super Market Inc,빌리지 슈퍼 마켓,Consumer Defensive
MAMA,Mama's Creations Inc,마마스 크리에이션스,Consumer Defensive
LPTH,LightPath Technologies Inc,라이트패스 테크놀로지스,Technology
RSVR,Reservoir Media Inc,레저버 미디어,Communication Services
HIFS,Hingham Institution For Savings,힝엄 인스티튜션 포 세이빙스,Financial Services
IMSR,Terrestrial Energy Inc,테레스트리얼 에너지,Utilities
TIPT,Tiptree Inc,팁트리,Financial Services
DRTS,Alpha Tau Medical Ltd,알파 타우 메디컬,Healthcare
SLDP,Solid Power Inc,솔리드 파워,Consumer Cyclical
CWBC,Community West Bancshares,커뮤니티 웨스트 뱅크셰어스,Financial Services
ALRS,Alerus Financial Corp,알레루스 파이낸셜,Financial Services
ARKO,Arko Corp.,아르코,Consumer Cyclical
MITK,Mitek Systems Inc,마이텍 시스템즈,Technology
PRME,Prime Medicine Inc,프라임 메디신,Healthcare
GLRE,Greenlight Capital Re Ltd,그린라이트 캐피털 리,Financial Services
FIP,Ftai Infrastructure Inc,에프티에이아이 인프라스트럭처,Industrials
SERV,Serve Robotics Inc,서브 로보틱스,Industrials
VITL,Vital Farms Inc,바이털 팜스,Consumer Defensive
TRON,TRON Inc,트론,Consumer Cyclical
PURR,Hyperliquid Strategies Inc,하이퍼리퀴드 스트래티지스,Financial Services
SWIM,Latham Group Inc,레이섬 그룹,Industrials
TASK,Taskus Inc,태스크어스,Technology
HSTM,HealthStream Inc,헬스스트림,Healthcare
RRBI,Red River Bancshares Inc,레드 리버 뱅크셰어스,Financial Services
CRSR,Corsair Gaming Inc,커세어 게이밍,Technology
ESPR,Esperion Therapeutics Inc,에스페리온 테라퓨틱스,Healthcare
SABR,Sabre Corp,세이버,Technology
CTKB,Cytek Biosciences Inc,사이텍 바이오사이언시스,Healthcare
SWMR,Swarmer Inc,스워머,Technology
BCAL,California Bancorp,캘리포니아 뱅코프,Financial Services
GAIN,Gladstone Investment Corp,글래드스톤 인베스트먼트,Financial Services
KE,Kimball Electronics Inc,킴볼 일렉트로닉스,Industrials
OPT,Opthea Ltd ADR,옵테아,Unknown
CASS,Cass Information Systems Inc,캐스 인포메이션 시스템즈,Industrials
SIBN,SI-BONE Inc,에스아이본,Healthcare
CEPF,Cantor Equity Partners IV Inc,캔터 에쿼티 파트너스 IV,Financial Services
MFI,mF International Limited,엠에프 인터내셔널,Technology
AROW,Arrow Financial Corp,애로우 파이낸셜,Financial Services
AMWD,American Woodmark Corp,아메리칸 우드마크,Consumer Cyclical
NFBK,Northfield Bancorp Inc,노스필드 뱅코프,Financial Services
ALTI,AlTi Global  Inc,알티 글로벌,Financial Services
MDXG,MiMedx Group Inc,마이멕스 그룹,Healthcare
ANL,Adlai Nortye Ltd ADR,애들레이 노티예,Healthcare
